CodigoDaComposicao;IDdoComponente;DescricaoDoComponente;CodigoDoComponente;QuantidadeDoComponente;CustoUnitario;Operacao
Par-2210;15823854084;Haste Bieleta Do Câmbio Peugeot 206 207  1.4 .16 161mm Curta;2210;2;8,9;A
Par-PG003;15823821807;Kit Rolamento Eixo Traseiro Peugeot Partner 1998 A 2009;PG003;2;47;A
Par-VW001;15823841530;Kit Rolamento Roda Traseira Gol Saveiro  PARATI G1 a G5 Fox;VW001;2;13,22;A
Kit-PG001;15831140075;Reparo Rolamento Eixo Traseiro Pegeout 206 47mm 1999 a 2010;PG001;2;43;A
Kit-PG001;15849433375;Bucha Eixo Traseiro Elimina Folga 47mm Peugeot 206;2278;2;15,5;A
Par-PG001;15831140075;Reparo Rolamento Eixo Traseiro Pegeout 206 47mm 1999 a 2010;PG001;2;43;A
Par-PG001A;15912110334;Rolamento Eixo Traseiro Peugeot 207 Passion Com Barra 50mm;PG001A;2;46;A
Par-FD001;15823818007;Kit Rolamento Roda Traseira Ford Ka 1997 1998 1999 2000-2002;FD001;2;40;A
PAR-14097/99;15844535193;Pino Reparo Da Dobradiça Porta Uno Mille Ld Le 1986;14097;2;3;A
PAR-14097/99;15843948189;Pino Dobradiça Porta Uno Mille Ld Le 1991 1992;14099;2;3;A
Par-NZT3600;15919873649;Kit Rolamento Dianteira Corsa Frente Montana Meriva Montana;nzt3600;2;0;A
Par-NZT3601;15920651059;Kit Rolamento Roda Traseira Meriva Le;NZT3601;2;62,78;A
PAR-8000/01;15998606913;Bieleta Dianteira Land Rover Evoque 2011 Em Diante;8000;2;0;A
PAR-8000/01;15998665003;Bieleta Traseira Land Rover Freelander 2 2008 A 2014;8001;2;26,85;A
4kit-12152;15843961535;Pino Buchas Da Dobradiça Porta Corcel Del Rey Pampa Belina;12152;4;5,9;A
4KIT-14098;16114809111;Pino Porta Batente Palio / Strada / Siena;14098;4;8,3;A
4Kits-14097/99;15844535193;Pino Reparo Da Dobradiça Porta Uno Mille Ld Le 1986;14097;4;3;A
4Kits-14097/99;15844535193;Pino Reparo Da Dobradiça Porta Uno Mille Ld Le 1986;14097;4;3;A
4 Kits (2) 14097- (2) 14099;15844535193;Pino Reparo Da Dobradiça Porta Uno Mille Ld Le 1986;14097;2;3;A
4 Kits (2) 14097- (2) 14099;15843948189;Pino Dobradiça Porta Uno Mille Ld Le 1991 1992;14099;2;3;A
