SKU;SEGUIMENTO;Categoria;TIPO;Fornecedor;Descrição / Aplicação;"Código Do 
Fornecedor";" CMV 
Unitário ";"Altura
(cm)";"Comprimento
(cm)";"Largura
(cm)";Peso
2210;AUTOMOTIVO;Haste Câmbio;SIMPLES;LT CORREA;Haste Bieleta Do Câmbio Peugeot 206 207  1.4 .16 161mm Curta;; R$ 8,90 ;;;;
2211;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Haste  Bieleta Câmbio 206 207 1.4 / 1.6 Longo 34cm;; R$ 10,90 ;;;;
2212;AUTOMOTIVO;Haste Câmbio;SIMPLES;LT CORREA;TIRANTE EXTERNO DO CÂMBIO CURTO PEUGEOT 206 1.0;;;;;;
2213;AUTOMOTIVO;Haste Câmbio;SIMPLES;LT CORREA;TIRANTE EXTERNO DO CÂMBIO LONGO PEUGEOT 206 1.0;;;;;;
2214;AUTOMOTIVO;Bieleta;SIMPLES;HOLYMAN;Bieleta Haste Curta Trambulador Peugeot 306;; R$ 8,90 ;;;;
2215;AUTOMOTIVO;Haste Câmbio;SIMPLES;LT CORREA;TIRANTE EXTERNO DO CÂMBIO LONGO PEUGEOT 306;;;;;;
2219;AUTOMOTIVO;Haste Câmbio;SIMPLES;LT CORREA;KIT TIRANTE DO CÂMBIO UNIVERSAL PEUGEOT;;;;;;
2252;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;ALAVANCA SELETORA DO TRAMBULADOR PEUGEOT 206 1.0;;;;;;
2278;AUTOMOTIVO;Bucha Eixo Suspensão;SIMPLES;LT CORREA;Bucha Eixo Tras Elimina Folga 47mm Peugeot 206 1999 A 2010;; R$ 15,50 ;;;;
2279;AUTOMOTIVO;Bucha Eixo Suspensão;KIT;HOLYMAN;Par De Buchas Eixo Traseiro Elimina Folga 47mm 206 1999 2010;; R$ 31,00 ;;;;
2280;AUTOMOTIVO;Bucha Eixo Suspensão;SIMPLES;LT CORREA;Bucha Eixo Traseiro Elimina Folga Pegeout 206 207 50mm;; R$ 15,50 ;;;;
2281;AUTOMOTIVO;Bucha Eixo Suspensão;KIT;LT CORREA;PAR Bucha Elimina Folga Do Eixo Tras 50mm Passion 2012 A 2015;; R$ 31,00 ;;;;
2302;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Kit Reparo Trambulador Cambio Astra Com Liame 1993 A 2006;; R$ 4,90 ;;;;
2309;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Suporte Da Alavanca De Seleção Do Trambulador Corsa Celta;; R$ 13,80 ;;;;
2312;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Reparo Bucha Cabo Marcha Zafira A Partir De 2006 Até 2012;; R$ 11,53 ;;;;
2314;AUTOMOTIVO;Haste Câmbio;SIMPLES;LT CORREA;Reparo Alavanca Cambio Corsa Classic Celta 2005/2014;; R$ 10,90 ;;;;
2316;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Kit Reparo Alavanca Câmbio Trambulador Vectra 2006 Até 2011;; R$ 31,50 ;;;;
2324;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Bucha Trambulador Corsa Todos De 94 Até 2012;; R$ 4,90 ;;;;
2325;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Bucha Reparo Alavanca Trambulador Astra 1993 A 2006;; R$ 3,90 ;;;;
2327;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Kit Reparo Bucha Alavanca Câmbio Varão Corsa;; R$ 19,00 ;;;;
2345;AUTOMOTIVO;Reparo alavanta Câmbio;SIMPLES;LT CORREA;Pino Regulagem Da Ponta Do Cabo De Marcha Corsa Celta Vectra;; R$ 8,00 ;;;;
2353;AUTOMOTIVO;Suporte Câmbio;SIMPLES;LT CORREA;Suporte Traseiro Do Motor Câmbio Manual Astra 2004;; R$ 38,76 ;;;;
2357;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Suporte Coxin Radiador Esquerdo Corsa Frente Montana 2002/12;; R$ 38,00 ;;;;
2358;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Suporte Coxin Radiador Direito Montana Antiga 2002 A 2012;; R$ 21,42 ;;;;
2360;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Suporte Radiador Lado Motorista - Corsa Sedan 1.6 - 1999;; R$ 31,90 ;;;;
2361;AUTOMOTIVO;Suporte Parachoque;SIMPLES;LT CORREA;Corsa Sedan Class. Super 1.6 2004 A 2006;; R$ 31,90 ;;;;
2362;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Suporte Sup. Radiador Celta 2009 Le Ld;; R$ 36,90 ;;;;
2367;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Suporte Do Radiador Vectra Cd 2.2 16v 2000;; R$ 29,90 ;;;;
2374;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Kit Suporte Coxim Superior Do Radiador Cobalt 2012 Em Diante;;;;;;
2375;AUTOMOTIVO;Suporte Radiador;SIMPLES;LT CORREA;Kit Suporte Coxim Superior Do Radiador Tracker 2021 a 2023;;;;;;
3002;AUTOMOTIVO;Cupula alavanca;SIMPLES;HOLYMAN;Kit Cúpula Alavanca Do Cambio 6 Marchas Siena 1999 A 2000;; R$ -   ;;;;
3003;AUTOMOTIVO;Caixa Rótula;SIMPLES;HOLYMAN;Caixa Rótula Alavanca Câmbio Santana Até 2005;; R$ 7,50 ;;;;
3025;AUTOMOTIVO;Suporte Parachoque;SIMPLES;HOLYMAN;Suporte Do Para Choque Fusca;; R$ 1,34 ;;;;
3037;AUTOMOTIVO;Caixa Rótula;SIMPLES;HOLYMAN;Caixa Rótula Alavanca Câmbio Gol G1 G2 G3;; R$ 8,00 ;;;;
4001;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa Pedal Acelerador Freio Embreagem Voyage Saveiro Gol;; R$ 2,80 ;;;;
4002;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Spacefox 2012 A 2015;; R$ 3,70 ;;;;
4003;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Acelerador Fiorino 1981 A 2016;; R$ -   ;;;;
4004;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa Pedal Acelerador Freio Embreagem Corsa 1994 Até 2015;; R$ 2,55 ;;;;
4005;AUTOMOTIVO;Capa Pedal;SIMPLES;HOLYMAN;Capa De Pedal Freio Embreagem Acelerador Passat G1 74 A 78;; R$ -   ;;;;
